id,title,url,shoot_timestamp,edit_timestamp,upload_timestamp,status,comment
001,Market Orders Explained - Market Order in Zerodha,,19-Jun-20,19-Jun-20,19-Jun-20,6,
002,Limit Orders Explained - Limit Order Zerodha - Zerodha Me Limit Order Kaise Kare,,23-Jun-20,23-Jun-20,23-Jun-20,6,
003,Market Order vs Limit Order in Hindi,,06-Jul-20,06-Jul-20,07-Jul-20,6,
004,CNC Order in Zerodha - Zerodha Me CNC Order,,23-Jun-20,23-Jun-20,24-Jun-20,6,
005,MIS Order in Zerodha - Zerodha Me MIS Order Kaise Lagaye,,23-Jun-20,23-Jun-20,25-Jun-20,6,
006,CNC vs MIS Order in Zerodha,,06-Jul-20,06-Jul-20,06-Jul-20,6,
007,Zerodha Order Types,,06-Jul-20,07-Jul-20,08-Jul-20,6,
008,Zerodha Intraday Trading Kaise Kare,,23-Jun-20,25-Jun-20,26-Jun-20,6,
009,Zerodha Me Intraday Margin - Zerodha Intraday Margin For Equity,,17-Jul-20,17-Jul-20,17-Jul-20,6,
010,"Zerodha Intraday Trading Brokerage Charges, Zerodha MIS Brokerage Charges ",,17-Jul-20,22-Jul-20,22-Jul-20,6,
011,Zerodha Me AMO Order Kaise Kare? Kya Hota Hai? Validity?,,30-Jun-20,30-Jun-30,02-Jul-20,6,
012,Zerodha Intraday Stop Loss - 2 sahi tarike stop loss lagane ke,,23-Dec-20,23-Dec-20,27-Dec-20,6,
013,Uniform Stamp Duty From 1st July 2020,,01-Jul-20,01-Jul-20,01-Jul-20,6,
014,Zerodha Me DP Charges,,23-Jun-20,26-Jun-20,27-Jun-20,6,
015,Zerodha Me Holding Share Kaise Buy / Sell Kare,,10-Jul-20,10-Jul-20,11-Jul-20,6,
016,OCO Order in Zerodha,,03-Jul-20,03-Jul-20,05-Jul-20,6,
017,Forex Trading in Dhan,,28-Jun-23,30-Jun-23,30-Jun-23,6,Sponsored
018,Cover Order in Zerodha - Zerodha CO Order,,30-Jun-20,30-Jun-20,01-Jul-20,6,
019,Trading or Investing - Which is Better and Why?,,16-Jul-21,16-Jul-21,16-Jul-21,6,
020,"Share Pledge Meaning, Charges, Margin etc. - All Explained in Zerodha",,13-Oct-21,18-Oct-21,18-Oct-21,6,
021,Zerodha Me Nifty Kaise Kharide,,08-Jul-20,08-Jul-20,09-Jul-20,6,
022,Zerodha Me Order Cancel Kaise Kare,,19-Jun-20,19-Jun-20,21-Jun-20,6,
023,Peak Margin Penalty - Zerodha Nudge,,09-Mar-21,09-Mar-21,10-Mar-21,6,
024,Zerodha Me Stop Loss Kaise Lagaye,,08-Jul-20,08-Jul-20,10-Jul-20,6,
025,Zerodha Me Short Selling Kaise Kare,,10-Jul-20,10-Jul-20,12-Jul-20,6,
